"婚姻狀況及
婚姻類型",性別,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上"
,計,"6,335,962","399,027","841,814","373,229","362,264","559,310","642,750","656,466","719,896","654,922","519,380","316,160","137,416","76,626","36,776","22,536","13,887","3,111",392
總　　　　計,男,"3,269,617","210,026","463,883","224,223","205,336","296,901","324,742","310,420","334,538","305,225","257,300","162,670","77,077","47,049","23,664","15,131","9,291","1,922",219
,女,"3,066,345","189,001","377,931","149,006","156,928","262,409","318,008","346,046","385,358","349,697","262,080","153,490","60,339","29,577","13,112","7,405","4,596","1,189",173
,計,"2,337,161","398,295","812,712","278,604","189,682","193,611","154,182","105,919","85,327","57,789","34,384","17,261","5,655","1,880",700,514,482,141,23
未　　　　婚,男,"1,363,967","209,897","454,151","183,164","126,661","128,759","99,227","62,809","46,170","28,383","15,113","6,013","1,814",690,291,317,370,120,18
,女,"973,194","188,398","358,561","95,440","63,021","64,852","54,955","43,110","39,157","29,406","19,271","11,248","3,841","1,190",409,197,112,21,5
,計,"3,088,831",689,"24,982","78,975","144,523","297,078","377,394","416,922","486,498","461,460","376,176","229,351","98,330","53,404","23,300","12,269","6,246","1,119",115
有　　　　偶,男,"1,527,856",125,"8,451","34,815","66,791","138,968","176,425","188,894","224,223","222,058","199,252","130,549","63,187","38,375","18,247","10,607","5,749","1,038",102
,女,"1,560,975",564,"16,531","44,160","77,732","158,110","200,969","228,028","262,275","239,402","176,924","98,802","35,143","15,029","5,053","1,662",497,81,13
,計,"3,087,206",685,"24,762","78,596","144,193","296,788","377,201","416,807","486,433","461,438","376,171","229,349","98,330","53,404","23,300","12,269","6,246","1,119",115
不同性別,男,"1,527,454",124,"8,381","34,744","66,717","138,909","176,376","188,859","224,191","222,051","199,250","130,547","63,187","38,375","18,247","10,607","5,749","1,038",102
,女,"1,559,752",561,"16,381","43,852","77,476","157,879","200,825","227,948","262,242","239,387","176,921","98,802","35,143","15,029","5,053","1,662",497,81,13
,計,"1,625",4,220,379,330,290,193,115,65,22,5,2,—,—,—,—,—,—,—
相同性別,男,402,1,70,71,74,59,49,35,32,7,2,2,—,—,—,—,—,—,—
,女,"1,223",3,150,308,256,231,144,80,33,15,3,—,—,—,—,—,—,—,—
,計,"703,658",43,"4,090","15,470","27,447","65,959","104,666","121,096","126,591","105,641","74,325","38,186","12,645","4,513","1,494",853,506,122,11
離婚/終止結婚,男,"331,113",4,"1,274","6,229","11,809","28,824","48,287","57,108","61,040","49,731","35,925","19,091","7,035","2,740",942,575,407,85,7
,女,"372,545",39,"2,816","9,241","15,638","37,135","56,379","63,988","65,551","55,910","38,400","19,095","5,610","1,773",552,278,99,37,4
,計,"703,568",42,"4,054","15,440","27,433","65,953","104,663","121,096","126,591","105,641","74,325","38,186","12,645","4,513","1,494",853,506,122,11
不同性別,男,"331,067",3,"1,254","6,216","11,803","28,820","48,285","57,108","61,040","49,731","35,925","19,091","7,035","2,740",942,575,407,85,7
,女,"372,501",39,"2,800","9,224","15,630","37,133","56,378","63,988","65,551","55,910","38,400","19,095","5,610","1,773",552,278,99,37,4
,計,90,1,36,30,14,6,3,—,—,—,—,—,—,—,—,—,—,—,—
相同性別,男,46,1,20,13,6,4,2,—,—,—,—,—,—,—,—,—,—,—,—
,女,44,—,16,17,8,2,1,—,—,—,—,—,—,—,—,—,—,—,—
,計,"206,312",—,30,180,612,"2,662","6,508","12,529","21,480","30,032","34,495","31,362","20,786","16,829","11,282","8,900","6,653","1,729",243
喪　　　　偶,男,"46,681",—,7,15,75,350,803,"1,609","3,105","5,053","7,010","7,017","5,041","5,244","4,184","3,632","2,765",679,92
,女,"159,631",—,23,165,537,"2,312","5,705","10,920","18,375","24,979","27,485","24,345","15,745","11,585","7,098","5,268","3,888","1,050",151
,計,"206,311",—,30,180,612,"2,662","6,507","12,529","21,480","30,032","34,495","31,362","20,786","16,829","11,282","8,900","6,653","1,729",243
不同性別,男,"46,681",—,7,15,75,350,803,"1,609","3,105","5,053","7,010","7,017","5,041","5,244","4,184","3,632","2,765",679,92
,女,"159,630",—,23,165,537,"2,312","5,704","10,920","18,375","24,979","27,485","24,345","15,745","11,585","7,098","5,268","3,888","1,050",151
,計,1,—,—,—,—,—,1,—,—,—,—,—,—,—,—,—,—,—,—
相同性別,男,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
,女,1,—,—,—,—,—,1,—,—,—,—,—,—,—,—,—,—,—,—
