婚姻類型",性別,總　　　　　　　　　　　　　　　　　　　　計,,,,,,,,,,,,,,,,,,,"婚姻狀況及
婚姻類型",性別,博　　　　　　士　　　　　　畢　　　　　　業,,,,,,,,,,,,,,,,,,,"婚姻狀況及
婚姻類型",性別,碩　　　　　　士　　　　　　畢　　　　　　業,,,,,,,,,,,,,,,,,,,"婚姻狀況及
婚姻類型",性別,大　　　　　　學　　　　　　畢　　　　　　業,,,,,,,,,,,,,,,,,,
,,總　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上",,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上",,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上",,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　十五歲以上現住人口數按性別、年齡、婚姻狀況及教育程度分(續4),,,,,,,,,,,,,,,,,,,,,　十五歲以上現住人口數按性別、年齡、婚姻狀況及教育程度分(續5),,,,,,,,,,,,,,,,,,,,,　十五歲以上現住人口數按性別、年齡、婚姻狀況及教育程度分(續6),,,,,,,,,,,,,,,,,,,,,　十五歲以上現住人口數按性別、年齡、婚姻狀況及教育程度分(續7完),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,中華民國 110年底,,,,,,,,,,,,,,,,,,,單位：人,,中華民國 110年底,,,,,,,,,,,,,,,,,,,單位：人,,中華民國 110年底,,,,,,,,,,,,,,,,,,,單位：人,,中華民國 110年底,,,,,,,,,,,,,,,,,,,單位：人
"婚姻狀況及
婚姻類型",性別,專　　　　　　科　　　　　　畢　　　　　　業,,,,,,,,,,,,,,,,,,,"婚姻狀況及
婚姻類型",性別,高　　　　　　中　　　　　　畢　　　　　　業,,,,,,,,,,,,,,,,,,,"婚姻狀況及
婚姻類型",性別,國　　　　　　中　　　　　　畢　　　　　　業,,,,,,,,,,,,,,,,,,,"婚姻狀況及
婚姻類型",性別,國　　小　　畢　　業　　以　　下,,,,,,,,,,,,,,,,,,
,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上",,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上",,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上",,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上"
,計,"2,009,515",—,"61,589","51,879","60,682","151,916","323,757","353,481","304,762","249,924","183,645","139,578","74,049","24,945","14,707","7,794","5,279","1,373",155,,計,"6,265,384","327,800","807,393","368,920","354,401","446,658","632,308","621,548","703,843","685,709","563,112","391,145","194,640","82,573","46,104","20,908","13,721","4,062",539,,計,"3,438,305","690,384","109,189","93,025","108,471","176,244","206,948","224,785","309,224","470,962","492,761","258,100","140,050","74,653","42,833","23,567","13,388","3,245",476,,計,"2,515,385","79,550","5,480","3,220","9,275","25,477","35,859","35,032","44,088","94,646","215,197","499,819","495,539","342,981","330,659","194,367","81,115","19,913","3,168"
總　　　　計,男,"1,005,825",—,"22,850","24,802","28,201","66,615","136,154","161,466","153,354","137,514","107,982","86,687","45,672","15,081","8,871","5,287","4,107","1,066",116,總　　　　計,男,"3,236,039","173,172","444,838","224,930","205,994","241,855","326,834","298,174","330,489","313,864","270,699","197,625","104,592","48,783","28,999","13,273","9,086","2,541",291,總　　　　計,男,"1,794,385","359,513","66,191","58,834","65,812","97,351","117,929","125,189","161,229","235,359","238,322","123,946","68,092","35,762","19,916","10,869","7,817","1,953",301,總　　　　計,男,"882,397","41,400","2,711","1,538","4,224","6,623","10,429","13,089","17,020","30,929","64,941","179,223","180,547","120,449","113,803","63,431","25,092","5,863","1,085"
,女,"1,003,690",—,"38,739","27,077","32,481","85,301","187,603","192,015","151,408","112,410","75,663","52,891","28,377","9,864","5,836","2,507","1,172",307,39,,女,"3,029,345","154,628","362,555","143,990","148,407","204,803","305,474","323,374","373,354","371,845","292,413","193,520","90,048","33,790","17,105","7,635","4,635","1,521",248,,女,"1,643,920","330,871","42,998","34,191","42,659","78,893","89,019","99,596","147,995","235,603","254,439","134,154","71,958","38,891","22,917","12,698","5,571","1,292",175,,女,"1,632,988","38,150","2,769","1,682","5,051","18,854","25,430","21,943","27,068","63,717","150,256","320,596","314,992","222,532","216,856","130,936","56,023","14,050","2,083"
,計,"417,636",—,"59,431","38,920","28,721","47,763","78,763","66,205","44,172","27,003","14,291","7,707","3,494",696,257,99,82,25,7,,計,"2,266,407","327,316","781,992","276,826","193,703","165,419","171,130","114,335","92,437","67,133","40,746","22,119","8,960","2,364",940,410,369,183,25,,計,"1,204,237","688,703","91,772","59,030","52,683","63,363","59,022","47,853","45,769","43,950","31,064","12,276","4,868","1,828",885,492,423,211,45,,計,"202,041","79,502","5,082","2,173","4,035","5,140","7,179","8,327","9,130","11,366","14,526","20,225","14,838","7,640","6,232","3,448","2,004",901,293
未　　　　婚,男,"194,835",—,"22,491","20,457","15,957","25,842","38,734","31,086","19,645","11,348","5,563","2,472",890,162,63,43,55,22,5,未　　　　婚,男,"1,335,016","173,064","436,294","184,345","130,538","111,357","112,056","69,991","51,943","33,902","18,594","8,390","2,792",758,365,194,269,144,20,未　　　　婚,男,"728,856","359,168","59,483","42,374","38,738","47,551","46,659","37,023","33,939","32,085","21,273","6,865","1,984",651,332,208,309,176,38,未　　　　婚,男,"113,964","41,393","2,579","1,213","2,697","3,678","5,088","5,611","6,014","7,604","9,593","11,904","7,501","3,664","2,495","1,309",911,509,201
,女,"222,801",—,"36,940","18,463","12,764","21,921","40,029","35,119","24,527","15,655","8,728","5,235","2,604",534,194,56,27,3,2,,女,"931,391","154,252","345,698","92,481","63,165","54,062","59,074","44,344","40,494","33,231","22,152","13,729","6,168","1,606",575,216,100,39,5,,女,"475,381","329,535","32,289","16,656","13,945","15,812","12,363","10,830","11,830","11,865","9,791","5,411","2,884","1,177",553,284,114,35,7,,女,"88,077","38,109","2,503",960,"1,338","1,462","2,091","2,716","3,116","3,762","4,933","8,321","7,337","3,976","3,737","2,139","1,093",392,92
,計,"1,333,431",—,"1,971","11,752","28,459","92,389","214,198","245,259","217,458","183,772","138,960","106,979","56,035","18,155","9,775","4,613","3,004",608,44,,計,"3,042,111",452,"21,555","75,253","132,102","227,113","355,887","378,568","460,130","470,773","399,300","280,452","136,971","55,988","28,909","10,985","6,145","1,386",142,,計,"1,538,485","1,465","12,643","23,391","38,863","77,659","95,484","113,095","178,621","307,006","337,739","176,831","92,547","45,113","22,396","9,489","4,978","1,028",137,,計,"1,280,613",39,287,754,"3,625","12,933","18,479","16,856","21,610","54,128","134,358","320,793","296,946","181,316","143,050","57,979","14,698","2,374",388
有　　　　偶,男,"693,824",—,321,"4,001","11,041","36,374","85,631","112,110","113,157","106,588","87,234","71,824","38,309","12,646","7,186","3,902","2,865",592,43,有　　　　偶,男,"1,505,224",102,"7,344","33,680","62,655","106,997","168,044","171,615","212,186","219,542","204,427","156,102","84,488","39,475","22,298","9,203","5,639","1,299",128,有　　　　偶,男,"784,902",324,"5,056","11,429","18,893","34,748","46,414","56,649","86,876","151,233","170,547","93,961","53,931","27,967","14,579","6,787","4,414",966,128,有　　　　偶,男,"568,444",6,106,204,"1,043","1,840","3,218","4,773","6,973","16,021","41,665","134,089","140,073","91,596","79,001","35,178","10,388","1,941",329
,女,"639,607",—,"1,650","7,751","17,418","56,015","128,567","133,149","104,301","77,184","51,726","35,155","17,726","5,509","2,589",711,139,16,1,,女,"1,536,887",350,"14,211","41,573","69,447","120,116","187,843","206,953","247,944","251,231","194,873","124,350","52,483","16,513","6,611","1,782",506,87,14,,女,"753,583","1,141","7,587","11,962","19,970","42,911","49,070","56,446","91,745","155,773","167,192","82,870","38,616","17,146","7,817","2,702",564,62,9,,女,"712,169",33,181,550,"2,582","11,093","15,261","12,083","14,637","38,107","92,693","186,704","156,873","89,720","64,049","22,801","4,310",433,59
,計,"1,332,353",—,"1,940","11,653","28,336","92,172","213,921","245,058","217,381","183,735","138,951","106,976","56,032","18,154","9,775","4,613","3,004",608,44,,計,"3,038,623",449,"21,252","74,578","131,273","226,453","355,354","378,325","459,988","470,702","399,280","280,445","136,970","55,988","28,908","10,985","6,145","1,386",142,,計,"1,537,133","1,458","12,424","23,096","38,514","77,426","95,357","113,039","178,580","306,991","337,734","176,828","92,545","45,113","22,396","9,489","4,978","1,028",137,,計,"1,280,488",38,282,748,"3,595","12,905","18,460","16,839","21,605","54,121","134,355","320,791","296,944","181,316","143,050","57,979","14,698","2,374",388
　　不同性別,男,"693,516",—,313,"3,983","11,027","36,320","85,568","112,031","113,114","106,568","87,229","71,823","38,307","12,645","7,186","3,902","2,865",592,43,　　不同性別,男,"1,504,373",101,"7,251","33,521","62,479","106,861","167,920","171,556","212,130","219,508","204,419","156,097","84,488","39,475","22,298","9,203","5,639","1,299",128,　　不同性別,男,"784,693",323,"5,019","11,377","18,844","34,714","46,400","56,642","86,864","151,231","170,547","93,961","53,930","27,967","14,579","6,787","4,414",966,128,　　不同性別,男,"568,426",6,105,203,"1,041","1,838","3,217","4,768","6,972","16,016","41,665","134,089","140,073","91,596","79,001","35,178","10,388","1,941",329
,女,"638,837",—,"1,627","7,670","17,309","55,852","128,353","133,027","104,267","77,167","51,722","35,153","17,725","5,509","2,589",711,139,16,1,,女,"1,534,250",348,"14,001","41,057","68,794","119,592","187,434","206,769","247,858","251,194","194,861","124,348","52,482","16,513","6,610","1,782",506,87,14,,女,"752,440","1,135","7,405","11,719","19,670","42,712","48,957","56,397","91,716","155,760","167,187","82,867","38,615","17,146","7,817","2,702",564,62,9,,女,"712,062",32,177,545,"2,554","11,067","15,243","12,071","14,633","38,105","92,690","186,702","156,871","89,720","64,049","22,801","4,310",433,59
,計,"1,078",—,31,99,123,217,277,201,77,37,9,3,3,1,—,—,—,—,—,,計,"3,488",3,303,675,829,660,533,243,142,71,20,7,1,—,1,—,—,—,—,,計,"1,352",7,219,295,349,233,127,56,41,15,5,3,2,—,—,—,—,—,—,,計,125,1,5,6,30,28,19,17,5,7,3,2,2,—,—,—,—,—,—
　　相同性別,男,308,—,8,18,14,54,63,79,43,20,5,1,2,1,—,—,—,—,—,　　相同性別,男,851,1,93,159,176,136,124,59,56,34,8,5,—,—,—,—,—,—,—,　　相同性別,男,209,1,37,52,49,34,14,7,12,2,—,—,1,—,—,—,—,—,—,　　相同性別,男,18,—,1,1,2,2,1,5,1,5,—,—,—,—,—,—,—,—,—
,女,770,—,23,81,109,163,214,122,34,17,4,2,1,—,—,—,—,—,—,,女,"2,637",2,210,516,653,524,409,184,86,37,12,2,1,—,1,—,—,—,—,,女,"1,143",6,182,243,300,199,113,49,29,13,5,3,1,—,—,—,—,—,—,,女,107,1,4,5,28,26,18,12,4,2,3,2,2,—,—,—,—,—,—
,計,"202,522",—,186,"1,189","3,425","11,410","29,060","38,626","38,135","32,531","22,779","15,869","6,695","1,552",581,263,164,51,6,,計,"731,918",32,"3,817","16,675","28,126","52,163","99,612","117,396","130,709","117,085","85,838","51,231","20,028","5,639","2,126",752,501,170,18,,計,"462,735",213,"4,742","10,523","16,581","33,546","48,739","57,286","70,754","88,664","76,280","33,740","13,585","4,841","1,857",749,495,123,17,,計,"209,030",9,107,283,"1,543","6,459","8,471","7,945","10,098","18,414","32,168","54,975","37,864","15,645","9,366","3,720","1,474",421,68
離婚/終止結婚,男,"99,549",—,38,343,"1,194","4,325","11,510","17,650","19,367","17,651","12,739","9,258","3,902",899,313,184,130,41,5,離婚/終止結婚,男,"345,666",6,"1,196","6,880","12,724","23,240","45,965","55,122","63,385","55,543","40,458","25,009","10,555","3,316","1,298",448,376,130,15,離婚/終止結婚,男,"238,242",21,"1,644","5,014","8,122","14,900","24,473","30,840","38,646","47,462","38,788","17,035","6,994","2,533",919,380,362,95,14,離婚/終止結婚,男,"80,651",1,25,121,484,"1,096","2,098","2,641","3,825","6,604","11,206","22,450","16,522","7,148","3,974","1,489",690,235,42
,女,"102,973",—,148,846,"2,231","7,085","17,550","20,976","18,768","14,880","10,040","6,611","2,793",653,268,79,34,10,1,,女,"386,252",26,"2,621","9,795","15,402","28,923","53,647","62,274","67,324","61,542","45,380","26,222","9,473","2,323",828,304,125,40,3,,女,"224,493",192,"3,098","5,509","8,459","18,646","24,266","26,446","32,108","41,202","37,492","16,705","6,591","2,308",938,369,133,28,3,,女,"128,379",8,82,162,"1,059","5,363","6,373","5,304","6,273","11,810","20,962","32,525","21,342","8,497","5,392","2,231",784,186,26
,計,"202,408",—,172,"1,160","3,406","11,394","29,041","38,613","38,131","32,531","22,779","15,869","6,695","1,552",581,263,164,51,6,,計,"731,202",29,"3,668","16,414","27,977","52,083","99,564","117,378","130,703","117,083","85,838","51,231","20,028","5,639","2,126",752,501,170,18,,計,"462,344",213,"4,621","10,387","16,511","33,506","48,724","57,281","70,750","88,664","76,280","33,740","13,585","4,841","1,857",749,495,123,17,,計,"209,005",9,105,280,"1,538","6,451","8,466","7,944","10,097","18,414","32,168","54,975","37,864","15,645","9,366","3,720","1,474",421,68
　　不同性別,男,"99,506",—,28,324,"1,191","4,321","11,506","17,647","19,367","17,651","12,739","9,258","3,902",899,313,184,130,41,5,　　不同性別,男,"345,447",5,"1,145","6,794","12,685","23,217","45,954","55,117","63,382","55,543","40,458","25,009","10,555","3,316","1,298",448,376,130,15,　　不同性別,男,"238,183",21,"1,621","4,996","8,113","14,894","24,472","30,840","38,644","47,462","38,788","17,035","6,994","2,533",919,380,362,95,14,　　不同性別,男,"80,651",1,25,121,484,"1,096","2,098","2,641","3,825","6,604","11,206","22,450","16,522","7,148","3,974","1,489",690,235,42
,女,"102,902",—,144,836,"2,215","7,073","17,535","20,966","18,764","14,880","10,040","6,611","2,793",653,268,79,34,10,1,,女,"385,755",24,"2,523","9,620","15,292","28,866","53,610","62,261","67,321","61,540","45,380","26,222","9,473","2,323",828,304,125,40,3,,女,"224,161",192,"3,000","5,391","8,398","18,612","24,252","26,441","32,106","41,202","37,492","16,705","6,591","2,308",938,369,133,28,3,,女,"128,354",8,80,159,"1,054","5,355","6,368","5,303","6,272","11,810","20,962","32,525","21,342","8,497","5,392","2,231",784,186,26
,計,114,—,14,29,19,16,19,13,4,—,—,—,—,—,—,—,—,—,—,,計,716,3,149,261,149,80,48,18,6,2,—,—,—,—,—,—,—,—,—,,計,391,—,121,136,70,40,15,5,4,—,—,—,—,—,—,—,—,—,—,,計,25,—,2,3,5,8,5,1,1,—,—,—,—,—,—,—,—,—,—
　　相同性別,男,43,—,10,19,3,4,4,3,—,—,—,—,—,—,—,—,—,—,—,　　相同性別,男,219,1,51,86,39,23,11,5,3,—,—,—,—,—,—,—,—,—,—,　　相同性別,男,59,—,23,18,9,6,1,—,2,—,—,—,—,—,—,—,—,—,—,　　相同性別,男,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
,女,71,—,4,10,16,12,15,10,4,—,—,—,—,—,—,—,—,—,—,,女,497,2,98,175,110,57,37,13,3,2,—,—,—,—,—,—,—,—,—,,女,332,—,98,118,61,34,14,5,2,—,—,—,—,—,—,—,—,—,—,,女,25,—,2,3,5,8,5,1,1,—,—,—,—,—,—,—,—,—,—
,計,"55,926",—,1,18,77,354,"1,736","3,391","4,997","6,618","7,615","9,023","7,825","4,542","4,094","2,819","2,029",689,98,,計,"224,948",—,29,166,470,"1,963","5,679","11,249","20,567","30,718","37,228","37,343","28,681","18,582","14,129","8,761","6,706","2,323",354,,計,"232,848",3,32,81,344,"1,676","3,703","6,551","14,080","31,342","47,678","35,253","29,050","22,871","17,695","12,837","7,492","1,883",277,,計,"823,701",—,4,10,72,945,"1,730","1,904","3,250","10,738","34,145","103,826","145,891","138,380","172,011","129,220","62,939","16,217","2,419"
喪　　　　偶,男,"17,617",—,—,1,9,74,279,620,"1,185","1,927","2,446","3,133","2,571","1,374","1,309","1,158","1,057",411,63,喪　　　　偶,男,"50,133",—,4,25,77,261,769,"1,446","2,975","4,877","7,220","8,124","6,757","5,234","5,038","3,428","2,802",968,128,喪　　　　偶,男,"42,385",—,8,17,59,152,383,677,"1,768","4,579","7,714","6,085","5,183","4,611","4,086","3,494","2,732",716,121,喪　　　　偶,男,"119,338",—,1,—,—,9,25,64,208,700,"2,477","10,780","16,451","18,041","28,333","25,455","13,103","3,178",513
,女,"38,309",—,1,17,68,280,"1,457","2,771","3,812","4,691","5,169","5,890","5,254","3,168","2,785","1,661",972,278,35,,女,"174,815",—,25,141,393,"1,702","4,910","9,803","17,592","25,841","30,008","29,219","21,924","13,348","9,091","5,333","3,904","1,355",226,,女,"190,463",3,24,64,285,"1,524","3,320","5,874","12,312","26,763","39,964","29,168","23,867","18,260","13,609","9,343","4,760","1,167",156,,女,"704,363",—,3,10,72,936,"1,705","1,840","3,042","10,038","31,668","93,046","129,440","120,339","143,678","103,765","49,836","13,039","1,906"
,計,"55,924",—,1,18,77,354,"1,736","3,391","4,997","6,617","7,614","9,023","7,825","4,542","4,094","2,819","2,029",689,98,,計,"224,936",—,28,164,467,"1,963","5,679","11,247","20,564","30,717","37,228","37,343","28,681","18,582","14,129","8,761","6,706","2,323",354,,計,"232,843",3,32,81,343,"1,674","3,703","6,550","14,079","31,342","47,678","35,253","29,050","22,871","17,695","12,837","7,492","1,883",277,,計,"823,700",—,4,10,72,945,"1,730","1,904","3,249","10,738","34,145","103,826","145,891","138,380","172,011","129,220","62,939","16,217","2,419"
　　不同性別,男,"17,616",—,—,1,9,74,279,620,"1,185","1,926","2,446","3,133","2,571","1,374","1,309","1,158","1,057",411,63,　　不同性別,男,"50,127",—,4,24,76,261,769,"1,445","2,973","4,876","7,220","8,124","6,757","5,234","5,038","3,428","2,802",968,128,　　不同性別,男,"42,382",—,8,17,59,151,383,676,"1,767","4,579","7,714","6,085","5,183","4,611","4,086","3,494","2,732",716,121,　　不同性別,男,"119,337",—,1,—,—,9,25,64,207,700,"2,477","10,780","16,451","18,041","28,333","25,455","13,103","3,178",513
,女,"38,308",—,1,17,68,280,"1,457","2,771","3,812","4,691","5,168","5,890","5,254","3,168","2,785","1,661",972,278,35,,女,"174,809",—,24,140,391,"1,702","4,910","9,802","17,591","25,841","30,008","29,219","21,924","13,348","9,091","5,333","3,904","1,355",226,,女,"190,461",3,24,64,284,"1,523","3,320","5,874","12,312","26,763","39,964","29,168","23,867","18,260","13,609","9,343","4,760","1,167",156,,女,"704,363",—,3,10,72,936,"1,705","1,840","3,042","10,038","31,668","93,046","129,440","120,339","143,678","103,765","49,836","13,039","1,906"
,計,2,—,—,—,—,—,—,—,—,1,1,—,—,—,—,—,—,—,—,,計,12,—,1,2,3,—,—,2,3,1,—,—,—,—,—,—,—,—,—,,計,5,—,—,—,1,2,—,1,1,—,—,—,—,—,—,—,—,—,—,,計,1,—,—,—,—,—,—,—,1,—,—,—,—,—,—,—,—,—,—
　　相同性別,男,1,—,—,—,—,—,—,—,—,1,—,—,—,—,—,—,—,—,—,　　相同性別,男,6,—,—,1,1,—,—,1,2,1,—,—,—,—,—,—,—,—,—,　　相同性別,男,3,—,—,—,—,1,—,1,1,—,—,—,—,—,—,—,—,—,—,　　相同性別,男,1,—,—,—,—,—,—,—,1,—,—,—,—,—,—,—,—,—,—
,女,1,—,—,—,—,—,—,—,—,—,1,—,—,—,—,—,—,—,—,,女,6,—,1,1,2,—,—,1,1,—,—,—,—,—,—,—,—,—,—,,女,2,—,—,—,1,1,—,—,—,—,—,—,—,—,—,—,—,—,—,,女,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
