婚姻類型",性別,總　　　　　　　　　　　　　　　　　　　　計,,,,,,,,,,,,,,,,,,,"婚姻狀況及
婚姻類型",性別,博　　　　　　士　　　　　　畢　　　　　　業,,,,,,,,,,,,,,,,,,,"婚姻狀況及
婚姻類型",性別,碩　　　　　　士　　　　　　畢　　　　　　業,,,,,,,,,,,,,,,,,,,"婚姻狀況及
婚姻類型",性別,大　　　　　　學　　　　　　畢　　　　　　業,,,,,,,,,,,,,,,,,,
,,總　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上",,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上",,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上",,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上"
　十五歲以上現住人口數按性別、年齡、婚姻狀況及教育程度分(續4),,,,,,,,,,,,,,,,,,,,,　十五歲以上現住人口數按性別、年齡、婚姻狀況及教育程度分(續5),,,,,,,,,,,,,,,,,,,,,　十五歲以上現住人口數按性別、年齡、婚姻狀況及教育程度分(續6),,,,,,,,,,,,,,,,,,,,,　十五歲以上現住人口數按性別、年齡、婚姻狀況及教育程度分(續7完),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,中華民國 109年底,,,,,,,,,,,,,,,,,,,單位：人,,中華民國 109年底,,,,,,,,,,,,,,,,,,,單位：人,,中華民國 109年底,,,,,,,,,,,,,,,,,,,單位：人,,中華民國 109年底,,,,,,,,,,,,,,,,,,,單位：人
"婚姻狀況及
婚姻類型",性別,專　　　　　　科　　　　　　畢　　　　　　業,,,,,,,,,,,,,,,,,,,"婚姻狀況及
婚姻類型",性別,高　　　　　　中　　　　　　畢　　　　　　業,,,,,,,,,,,,,,,,,,,"婚姻狀況及
婚姻類型",性別,國　　　　　　中　　　　　　畢　　　　　　業,,,,,,,,,,,,,,,,,,,"婚姻狀況及
婚姻類型",性別,國　　小　　畢　　業　　以　　下,,,,,,,,,,,,,,,,,,
,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上",,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上",,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上",,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上"
,計,"2,030,074",—,"64,936","52,083","68,966","188,378","354,075","342,187","297,098","241,008","176,273","133,162","60,055","23,590","13,408","8,282","5,190","1,241",142,,計,"6,315,556","347,505","843,180","371,132","355,770","506,934","646,922","629,902","718,461","670,884","544,100","357,471","163,059","79,122","41,311","21,577","14,173","3,584",469,,計,"3,498,992","723,381","113,948","94,812","116,314","191,754","214,048","234,693","343,204","498,983","474,899","218,353","122,438","72,458","39,195","24,153","13,103","2,842",414,,計,"2,622,163","83,540","6,111","3,488","12,523","28,372","37,078","35,259","51,051","113,722","258,006","561,939","450,007","365,295","327,596","189,305","77,456","18,537","2,878"
總　　　　計,男,"1,017,498",—,"24,826","25,332","31,637","81,142","150,696","158,940","153,100","134,006","104,626","82,816","36,919","14,153","8,230","5,940","4,093",946,96,總　　　　計,男,"3,259,616","183,026","464,321","224,537","204,178","271,937","330,709","298,962","335,774","309,105","265,760","182,055","89,380","47,604","26,367","13,994","9,409","2,242",256,總　　　　計,男,"1,828,186","376,229","68,638","59,428","69,137","105,821","122,698","129,718","177,187","248,842","229,112","106,462","59,773","35,122","18,173","11,842","8,001","1,741",262,總　　　　計,男,"930,310","43,564","3,007","1,624","5,524","6,726","11,806","13,414","19,632","36,011","80,124","207,283","164,014","130,250","113,764","62,630","24,347","5,595",995
,女,"1,012,576",—,"40,110","26,751","37,329","107,236","203,379","183,247","143,998","107,002","71,647","50,346","23,136","9,437","5,178","2,342","1,097",295,46,,女,"3,055,940","164,479","378,859","146,595","151,592","234,997","316,213","330,940","382,687","361,779","278,340","175,416","73,679","31,518","14,944","7,583","4,764","1,342",213,,女,"1,670,806","347,152","45,310","35,384","47,177","85,933","91,350","104,975","166,017","250,141","245,787","111,891","62,665","37,336","21,022","12,311","5,102","1,101",152,,女,"1,691,853","39,976","3,104","1,864","6,999","21,646","25,272","21,845","31,419","77,711","177,882","354,656","285,993","235,045","213,832","126,675","53,109","12,942","1,883"
,計,"425,581",—,"62,611","39,072","31,831","58,191","83,409","61,121","40,895","24,623","12,833","7,251","2,696",611,217,108,78,23,11,,計,"2,306,718","346,885","815,320","278,085","191,588","180,997","165,097","107,931","89,514","62,629","37,657","19,887","7,170","2,100",802,444,426,163,23,,計,"1,244,142","721,504","96,095","60,626","55,843","67,729","58,779","47,098","46,823","43,493","28,313","10,007","4,056","1,722",808,530,480,197,39,,計,"212,226","83,485","5,738","2,287","5,293","5,184","8,067","8,453","9,862","12,279","15,829","21,749","13,005","7,940","6,262","3,424","2,150",942,277
未　　　　婚,男,"199,031",—,"24,436","20,851","17,522","30,839","40,714","28,329","17,956","10,293","4,808","2,263",674,153,56,53,58,19,7,未　　　　婚,男,"1,351,793","182,896","454,882","183,881","128,231","121,169","107,024","65,121","49,277","31,220","16,877","7,219","2,248",730,319,235,312,133,19,未　　　　婚,男,"749,236","375,885","61,650","43,089","40,799","51,109","46,660","36,099","34,659","31,647","19,031","5,190","1,636",637,302,262,380,168,33,未　　　　婚,男,"119,986","43,560","2,883","1,248","3,531","3,711","5,706","5,571","6,598","8,159","10,441","12,578","6,548","3,794","2,572","1,360",990,535,201
,女,"226,550",—,"38,175","18,221","14,309","27,352","42,695","32,792","22,939","14,330","8,025","4,988","2,022",458,161,55,20,4,4,,女,"954,925","163,989","360,438","94,204","63,357","59,828","58,073","42,810","40,237","31,409","20,780","12,668","4,922","1,370",483,209,114,30,4,,女,"494,906","345,619","34,445","17,537","15,044","16,620","12,119","10,999","12,164","11,846","9,282","4,817","2,420","1,085",506,268,100,29,6,,女,"92,240","39,925","2,855","1,039","1,762","1,473","2,361","2,882","3,264","4,120","5,388","9,171","6,457","4,146","3,690","2,064","1,160",407,76
,計,"1,351,410",—,"2,139","11,811","33,308","116,119","237,138","240,073","214,109","179,084","134,384","102,614","45,689","17,244","8,969","5,171","2,967",557,34,,計,"3,072,830",586,"23,732","76,863","136,314","264,102","371,850","392,021","477,511","466,460","390,104","257,773","115,689","54,388","26,113","11,571","6,368","1,256",129,,計,"1,569,289","1,622","13,140","23,857","42,696","85,320","100,594","121,948","205,453","332,196","329,354","150,673","81,452","44,270","20,519","10,037","5,138",897,123,,計,"1,360,529",43,273,855,"4,928","14,868","18,957","16,943","25,900","67,437","164,723","364,792","271,270","194,815","141,722","56,233","14,178","2,237",355
有　　　　偶,男,"703,290",—,358,"4,113","12,805","45,162","96,831","112,487","114,703","104,955","85,199","68,992","31,181","11,909","6,674","4,509","2,834",547,31,有　　　　偶,男,"1,519,798",124,"8,148","34,079","63,764","124,118","174,991","176,863","220,354","220,464","203,388","144,838","72,730","38,670","20,319","9,809","5,842","1,185",112,有　　　　偶,男,"800,679",314,"5,338","11,578","20,134","38,231","49,760","61,083","99,600","164,509","166,605","82,068","47,712","27,516","13,217","7,442","4,616",844,112,有　　　　偶,男,"603,772",4,103,236,"1,350","1,874","3,772","5,022","8,388","19,668","53,519","157,710","128,103","99,184","78,067","34,409","10,256","1,803",304
,女,"648,120",—,"1,781","7,698","20,503","70,957","140,307","127,586","99,406","74,129","49,185","33,622","14,508","5,335","2,295",662,133,10,3,,女,"1,553,032",462,"15,584","42,784","72,550","139,984","196,859","215,158","257,157","245,996","186,716","112,935","42,959","15,718","5,794","1,762",526,71,17,,女,"768,610","1,308","7,802","12,279","22,562","47,089","50,834","60,865","105,853","167,687","162,749","68,605","33,740","16,754","7,302","2,595",522,53,11,,女,"756,757",39,170,619,"3,578","12,994","15,185","11,921","17,512","47,769","111,204","207,082","143,167","95,631","63,655","21,824","3,922",434,51
,計,"1,350,571",—,"2,110","11,740","33,213","115,931","236,911","239,931","214,057","179,058","134,377","102,614","45,687","17,244","8,969","5,171","2,967",557,34,,計,"3,069,990",582,"23,439","76,258","135,686","263,539","371,463","391,829","477,401","466,416","390,094","257,769","115,689","54,388","26,113","11,571","6,368","1,256",129,,計,"1,568,213","1,608","12,947","23,596","42,434","85,155","100,504","121,906","205,424","332,185","329,349","150,670","81,451","44,270","20,519","10,037","5,138",897,123,,計,"1,360,426",43,270,850,"4,897","14,848","18,939","16,932","25,892","67,435","164,720","364,791","271,269","194,815","141,722","56,233","14,178","2,237",355
　　不同性別,男,"703,054",—,350,"4,094","12,794","45,126","96,778","112,428","114,673","104,940","85,196","68,992","31,179","11,909","6,674","4,509","2,834",547,31,　　不同性別,男,"1,519,105",124,"8,056","33,948","63,632","124,000","174,902","176,811","220,304","220,444","203,383","144,834","72,730","38,670","20,319","9,809","5,842","1,185",112,　　不同性別,男,"800,520",311,"5,304","11,539","20,099","38,210","49,753","61,075","99,592","164,507","166,604","82,068","47,711","27,516","13,217","7,442","4,616",844,112,　　不同性別,男,"603,756",4,102,234,"1,349","1,872","3,770","5,019","8,386","19,666","53,518","157,710","128,103","99,184","78,067","34,409","10,256","1,803",304
,女,"647,517",—,"1,760","7,646","20,419","70,805","140,133","127,503","99,384","74,118","49,181","33,622","14,508","5,335","2,295",662,133,10,3,,女,"1,550,885",458,"15,383","42,310","72,054","139,539","196,561","215,018","257,097","245,972","186,711","112,935","42,959","15,718","5,794","1,762",526,71,17,,女,"767,693","1,297","7,643","12,057","22,335","46,945","50,751","60,831","105,832","167,678","162,745","68,602","33,740","16,754","7,302","2,595",522,53,11,,女,"756,670",39,168,616,"3,548","12,976","15,169","11,913","17,506","47,769","111,202","207,081","143,166","95,631","63,655","21,824","3,922",434,51
,計,839,—,29,71,95,188,227,142,52,26,7,—,2,—,—,—,—,—,—,,計,"2,840",4,293,605,628,563,387,192,110,44,10,4,—,—,—,—,—,—,—,,計,"1,076",14,193,261,262,165,90,42,29,11,5,3,1,—,—,—,—,—,—,,計,103,—,3,5,31,20,18,11,8,2,3,1,1,—,—,—,—,—,—
　　相同性別,男,236,—,8,19,11,36,53,59,30,15,3,—,2,—,—,—,—,—,—,　　相同性別,男,693,—,92,131,132,118,89,52,50,20,5,4,—,—,—,—,—,—,—,　　相同性別,男,159,3,34,39,35,21,7,8,8,2,1,—,1,—,—,—,—,—,—,　　相同性別,男,16,—,1,2,1,2,2,3,2,2,1,—,—,—,—,—,—,—,—
,女,603,—,21,52,84,152,174,83,22,11,4,—,—,—,—,—,—,—,—,,女,"2,147",4,201,474,496,445,298,140,60,24,5,—,—,—,—,—,—,—,—,,女,917,11,159,222,227,144,83,34,21,9,4,3,—,—,—,—,—,—,—,,女,87,—,2,3,30,18,16,8,6,—,2,1,1,—,—,—,—,—,—
,計,"199,744",—,185,"1,181","3,759","13,588","31,616","37,637","37,195","30,927","21,564","14,573","5,164","1,358",491,275,187,42,2,,計,"720,206",34,"4,098","16,003","27,346","59,540","103,829","118,137","130,236","111,271","80,485","45,044","15,904","5,013","1,817",768,524,141,16,,計,"460,287",253,"4,683","10,247","17,348","36,810","50,772","58,565","75,260","89,902","70,644","27,397","11,058","4,366","1,589",784,481,113,15,,計,"214,182",11,99,333,"2,179","7,221","8,361","7,975","11,443","20,891","36,185","58,231","31,811","15,354","8,702","3,484","1,423",413,66
離婚/終止結婚,男,"98,331",—,32,368,"1,302","5,054","12,839","17,480","19,221","16,902","12,158","8,539","3,008",763,276,198,155,34,2,離婚/終止結婚,男,"339,604",6,"1,286","6,551","12,107","26,353","47,909","55,453","63,111","52,421","38,439","22,232","8,615","2,988","1,131",478,409,103,12,離婚/終止結婚,男,"236,894",30,"1,646","4,747","8,141","16,332","25,880","31,757","40,940","47,738","35,960","13,894","5,804","2,343",792,431,358,89,12,離婚/終止結婚,男,"83,671",—,21,140,642,"1,129","2,295","2,740","4,405","7,318","12,995","24,522","14,229","7,077","3,724","1,440",720,228,46
,女,"101,413",—,153,813,"2,457","8,534","18,777","20,157","17,974","14,025","9,406","6,034","2,156",595,215,77,32,8,—,,女,"380,602",28,"2,812","9,452","15,239","33,187","55,920","62,684","67,125","58,850","42,046","22,812","7,289","2,025",686,290,115,38,4,,女,"223,393",223,"3,037","5,500","9,207","20,478","24,892","26,808","34,320","42,164","34,684","13,503","5,254","2,023",797,353,123,24,3,,女,"130,511",11,78,193,"1,537","6,092","6,066","5,235","7,038","13,573","23,190","33,709","17,582","8,277","4,978","2,044",703,185,20
,計,"199,680",—,170,"1,166","3,747","13,581","31,612","37,628","37,193","30,927","21,564","14,573","5,164","1,358",491,275,187,42,2,,計,"719,864",32,"3,991","15,892","27,284","59,505","103,810","118,133","130,235","111,270","80,485","45,044","15,904","5,013","1,817",768,524,141,16,,計,"460,087",253,"4,607","10,181","17,315","36,791","50,768","58,565","75,258","89,902","70,644","27,397","11,058","4,366","1,589",784,481,113,15,,計,"214,172",11,99,331,"2,177","7,218","8,360","7,975","11,443","20,891","36,184","58,230","31,811","15,354","8,702","3,484","1,423",413,66
　　不同性別,男,"98,309",—,26,358,"1,299","5,053","12,838","17,479","19,221","16,902","12,158","8,539","3,008",763,276,198,155,34,2,　　不同性別,男,"339,480",6,"1,246","6,511","12,086","26,337","47,904","55,452","63,110","52,421","38,439","22,232","8,615","2,988","1,131",478,409,103,12,　　不同性別,男,"236,862",30,"1,632","4,740","8,135","16,328","25,880","31,757","40,939","47,738","35,960","13,894","5,804","2,343",792,431,358,89,12,　　不同性別,男,"83,671",—,21,140,642,"1,129","2,295","2,740","4,405","7,318","12,995","24,522","14,229","7,077","3,724","1,440",720,228,46
,女,"101,371",—,144,808,"2,448","8,528","18,774","20,149","17,972","14,025","9,406","6,034","2,156",595,215,77,32,8,—,,女,"380,384",26,"2,745","9,381","15,198","33,168","55,906","62,681","67,125","58,849","42,046","22,812","7,289","2,025",686,290,115,38,4,,女,"223,225",223,"2,975","5,441","9,180","20,463","24,888","26,808","34,319","42,164","34,684","13,503","5,254","2,023",797,353,123,24,3,,女,"130,501",11,78,191,"1,535","6,089","6,065","5,235","7,038","13,573","23,189","33,708","17,582","8,277","4,978","2,044",703,185,20
,計,64,—,15,15,12,7,4,9,2,—,—,—,—,—,—,—,—,—,—,,計,342,2,107,111,62,35,19,4,1,1,—,—,—,—,—,—,—,—,—,,計,200,—,76,66,33,19,4,—,2,—,—,—,—,—,—,—,—,—,—,,計,10,—,—,2,2,3,1,—,—,—,1,1,—,—,—,—,—,—,—
　　相同性別,男,22,—,6,10,3,1,1,1,—,—,—,—,—,—,—,—,—,—,—,　　相同性別,男,124,—,40,40,21,16,5,1,1,—,—,—,—,—,—,—,—,—,—,　　相同性別,男,32,—,14,7,6,4,—,—,1,—,—,—,—,—,—,—,—,—,—,　　相同性別,男,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
,女,42,—,9,5,9,6,3,8,2,—,—,—,—,—,—,—,—,—,—,,女,218,2,67,71,41,19,14,3,—,1,—,—,—,—,—,—,—,—,—,,女,168,—,62,59,27,15,4,—,1,—,—,—,—,—,—,—,—,—,—,,女,10,—,—,2,2,3,1,—,—,—,1,1,—,—,—,—,—,—,—
,計,"53,339",—,1,19,68,480,"1,912","3,356","4,899","6,374","7,492","8,724","6,506","4,377","3,731","2,728","1,958",619,95,,計,"215,802",—,30,181,522,"2,295","6,146","11,813","21,200","30,524","35,854","34,767","24,296","17,621","12,579","8,794","6,855","2,024",301,,計,"225,274",2,30,82,427,"1,895","3,903","7,082","15,668","33,392","46,588","30,276","25,872","22,100","16,279","12,802","7,004","1,635",237,,計,"835,226",1,1,13,123,"1,099","1,693","1,888","3,846","13,115","41,269","117,167","133,921","147,186","170,910","126,164","59,705","14,945","2,180"
喪　　　　偶,男,"16,846",—,—,—,8,87,312,644,"1,220","1,856","2,461","3,022","2,056","1,328","1,224","1,180","1,046",346,56,喪　　　　偶,男,"48,421",—,5,26,76,297,785,"1,525","3,032","5,000","7,056","7,766","5,787","5,216","4,598","3,472","2,846",821,113,喪　　　　偶,男,"41,377",—,4,14,63,149,398,779,"1,988","4,948","7,516","5,310","4,621","4,626","3,862","3,707","2,647",640,105,喪　　　　偶,男,"122,881",—,—,—,1,12,33,81,241,866,"3,169","12,473","15,134","20,195","29,401","25,421","12,381","3,029",444
,女,"36,493",—,1,19,60,393,"1,600","2,712","3,679","4,518","5,031","5,702","4,450","3,049","2,507","1,548",912,273,39,,女,"167,381",—,25,155,446,"1,998","5,361","10,288","18,168","25,524","28,798","27,001","18,509","12,405","7,981","5,322","4,009","1,203",188,,女,"183,897",2,26,68,364,"1,746","3,505","6,303","13,680","28,444","39,072","24,966","21,251","17,474","12,417","9,095","4,357",995,132,,女,"712,345",1,1,13,122,"1,087","1,660","1,807","3,605","12,249","38,100","104,694","118,787","126,991","141,509","100,743","47,324","11,916","1,736"
,計,"53,339",—,1,19,68,480,"1,912","3,356","4,899","6,374","7,492","8,724","6,506","4,377","3,731","2,728","1,958",619,95,,計,"215,798",—,30,180,521,"2,295","6,146","11,811","21,200","30,524","35,854","34,767","24,296","17,621","12,579","8,794","6,855","2,024",301,,計,"225,271",2,30,82,426,"1,895","3,903","7,081","15,667","33,392","46,588","30,276","25,872","22,100","16,279","12,802","7,004","1,635",237,,計,"835,226",1,1,13,123,"1,099","1,693","1,888","3,846","13,115","41,269","117,167","133,921","147,186","170,910","126,164","59,705","14,945","2,180"
　　不同性別,男,"16,846",—,—,—,8,87,312,644,"1,220","1,856","2,461","3,022","2,056","1,328","1,224","1,180","1,046",346,56,　　不同性別,男,"48,419",—,5,25,76,297,785,"1,524","3,032","5,000","7,056","7,766","5,787","5,216","4,598","3,472","2,846",821,113,　　不同性別,男,"41,375",—,4,14,63,149,398,778,"1,987","4,948","7,516","5,310","4,621","4,626","3,862","3,707","2,647",640,105,　　不同性別,男,"122,881",—,—,—,1,12,33,81,241,866,"3,169","12,473","15,134","20,195","29,401","25,421","12,381","3,029",444
,女,"36,493",—,1,19,60,393,"1,600","2,712","3,679","4,518","5,031","5,702","4,450","3,049","2,507","1,548",912,273,39,,女,"167,379",—,25,155,445,"1,998","5,361","10,287","18,168","25,524","28,798","27,001","18,509","12,405","7,981","5,322","4,009","1,203",188,,女,"183,896",2,26,68,363,"1,746","3,505","6,303","13,680","28,444","39,072","24,966","21,251","17,474","12,417","9,095","4,357",995,132,,女,"712,345",1,1,13,122,"1,087","1,660","1,807","3,605","12,249","38,100","104,694","118,787","126,991","141,509","100,743","47,324","11,916","1,736"
,計,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,,計,4,—,—,1,1,—,—,2,—,—,—,—,—,—,—,—,—,—,—,,計,3,—,—,—,1,—,—,1,1,—,—,—,—,—,—,—,—,—,—,,計,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
　　相同性別,男,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,　　相同性別,男,2,—,—,1,—,—,—,1,—,—,—,—,—,—,—,—,—,—,—,　　相同性別,男,2,—,—,—,—,—,—,1,1,—,—,—,—,—,—,—,—,—,—,　　相同性別,男,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
,女,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,,女,2,—,—,—,1,—,—,1,—,—,—,—,—,—,—,—,—,—,—,,女,1,—,—,—,1,—,—,—,—,—,—,—,—,—,—,—,—,—,—,,女,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
