婚姻類型",性別,總　　　　　　　　　　　　　　　　　　　　計,,,,,,,,,,,,,,,,,,,"婚姻狀況及
婚姻類型",性別,博　　　　　　士　　　　　　畢　　　　　　業,,,,,,,,,,,,,,,,,,,"婚姻狀況及
婚姻類型",性別,碩　　　　　　士　　　　　　畢　　　　　　業,,,,,,,,,,,,,,,,,,,"婚姻狀況及
婚姻類型",性別,大　　　　　　學　　　　　　畢　　　　　　業,,,,,,,,,,,,,,,,,,
,,總　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上",,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上",,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上",,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上"
,女,"5,130,211","1,809","29,938","143,028","346,750","581,392","659,236","582,652","605,880","625,795","573,595","467,146","257,716","140,604","81,325","27,412","5,245",598,90,,女,"16,417",—,—,13,440,"2,070","3,222","2,774","2,956","2,375","1,392",741,336,67,24,6,1,—,—,,女,"260,593",—,23,"4,557","31,024","54,887","56,982","42,958","33,369","19,149","9,691","5,003","2,167",570,166,40,7,—,—,,女,"1,126,682",—,"4,578","75,078","196,093","253,411","195,847","121,390","89,627","68,690","52,658","39,158","20,839","6,529","2,089",523,134,30,8
,計,"10,312,943","2,233","44,893","234,100","604,862","1,059,294","1,250,945","1,138,235","1,211,347","1,270,576","1,191,763","1,012,648","597,522","347,741","215,215","91,422","33,335","6,032",780,,計,"73,927",—,—,51,"1,640","8,019","12,168","10,001","11,181","11,138","8,643","5,738","3,054","1,307",639,264,72,11,1,,計,"704,983",—,45,"9,700","69,704","134,286","143,143","114,557","94,351","61,546","36,039","22,507","11,514","4,487","2,023",759,282,33,7,,計,"2,184,833",—,"6,082","111,905","317,288","437,516","367,817","243,079","183,041","152,798","128,541","108,559","68,858","31,230","15,230","7,387","4,330","1,041",131
　　不同性別,男,"5,189,463",439,"15,376","92,275","259,783","479,469","592,776","556,072","605,660","644,857","618,188","545,508","339,808","207,137","133,890","64,011","28,090","5,434",690,　　不同性別,男,"57,563",—,—,38,"1,201","5,961","8,964","7,241","8,229","8,767","7,251","4,997","2,718","1,240",615,258,71,11,1,　　不同性別,男,"444,958",—,23,"5,166","38,808","79,571","86,309","71,659","61,012","42,402","26,348","17,504","9,347","3,917","1,857",720,275,33,7,　　不同性別,男,"1,060,507",—,"1,541","37,256","121,900","184,729","172,300","121,839","93,464","84,131","75,888","69,403","48,020","24,701","13,141","6,864","4,196","1,011",123
,女,"5,123,480","1,794","29,517","141,825","345,079","579,825","658,169","582,163","605,687","625,719","573,575","467,140","257,714","140,604","81,325","27,411","5,245",598,90,,女,"16,364",—,—,13,439,"2,058","3,204","2,760","2,952","2,371","1,392",741,336,67,24,6,1,—,—,,女,"260,025",—,22,"4,534","30,896","54,715","56,834","42,898","33,339","19,144","9,691","5,003","2,167",570,166,39,7,—,—,,女,"1,124,326",—,"4,541","74,649","195,388","252,787","195,517","121,240","89,577","68,667","52,653","39,156","20,838","6,529","2,089",523,134,30,8
,計,"9,418",18,570,"1,596","2,255","2,084","1,483",773,393,169,46,20,10,—,—,1,—,—,—,,計,102,—,—,—,1,19,31,24,15,9,2,1,—,—,—,—,—,—,—,,計,961,—,1,47,194,270,239,114,63,25,2,3,2,—,—,1,—,—,—,,計,"3,497",—,51,607,"1,044",859,491,248,116,52,17,8,4,—,—,—,—,—,—
　　相同性別,男,"2,687",3,149,393,584,517,416,284,200,93,26,14,8,—,—,—,—,—,—,　　相同性別,男,49,—,—,—,—,7,13,10,11,5,2,1,—,—,—,—,—,—,—,　　相同性別,男,393,—,—,24,66,98,91,54,33,20,2,3,2,—,—,—,—,—,—,　　相同性別,男,"1,141",—,14,178,339,235,161,98,66,29,12,6,3,—,—,—,—,—,—
,女,"6,731",15,421,"1,203","1,671","1,567","1,067",489,193,76,20,6,2,—,—,1,—,—,—,,女,53,—,—,—,1,12,18,14,4,4,—,—,—,—,—,—,—,—,—,,女,568,—,1,23,128,172,148,60,30,5,—,—,—,—,—,1,—,—,—,,女,"2,356",—,37,429,705,624,330,150,50,23,5,2,1,—,—,—,—,—,—
,計,"1,849,802",298,"9,362","33,219","69,598","151,680","235,912","261,435","290,837","282,446","230,558","160,614","71,867","28,848","13,618","5,746","2,866",786,112,,計,"4,822",—,—,1,38,244,512,758,"1,003",901,645,426,198,58,26,9,1,2,—,,計,"48,032",—,2,160,"1,599","5,113","8,505","9,536","9,576","6,553","3,739","1,986",855,270,90,38,8,2,—,,計,"202,529",—,295,"5,294","17,329","29,164","32,317","28,827","26,124","22,001","17,296","12,957","6,877","2,429",903,388,242,73,13
離婚/終止結婚,男,"874,409",36,"3,072","13,579","29,405","63,267","107,044","124,236","143,448","138,487","110,630","77,704","36,400","15,063","6,680","2,901","1,855",520,82,離婚/終止結婚,男,"2,872",—,—,—,29,155,296,396,511,527,423,302,150,50,22,9,1,1,—,離婚/終止結婚,男,"23,922",—,2,81,799,"2,698","4,188","4,420","4,422","3,283","1,982","1,183",556,193,71,36,6,2,—,離婚/終止結婚,男,"89,115",—,85,"1,692","6,385","11,546","13,637","11,990","10,838","10,298","8,673","7,032","4,038","1,649",664,309,206,63,10
,女,"975,393",262,"6,290","19,640","40,193","88,413","128,868","137,199","147,389","143,959","119,928","82,910","35,467","13,785","6,938","2,845","1,011",266,30,,女,"1,950",—,—,1,9,89,216,362,492,374,222,124,48,8,4,—,—,1,—,,女,"24,110",—,—,79,800,"2,415","4,317","5,116","5,154","3,270","1,757",803,299,77,19,2,2,—,—,,女,"113,414",—,210,"3,602","10,944","17,618","18,680","16,837","15,286","11,703","8,623","5,925","2,839",780,239,79,36,10,3
