"婚姻狀況及
婚姻類型",性別,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上"
,計,"2,515,385","79,550","5,480","3,220","9,275","25,477","35,859","35,032","44,088","94,646","215,197","499,819","495,539","342,981","330,659","194,367","81,115","19,913","3,168"
總　　　　計,男,"882,397","41,400","2,711","1,538","4,224","6,623","10,429","13,089","17,020","30,929","64,941","179,223","180,547","120,449","113,803","63,431","25,092","5,863","1,085"
,女,"1,632,988","38,150","2,769","1,682","5,051","18,854","25,430","21,943","27,068","63,717","150,256","320,596","314,992","222,532","216,856","130,936","56,023","14,050","2,083"
,計,"202,041","79,502","5,082","2,173","4,035","5,140","7,179","8,327","9,130","11,366","14,526","20,225","14,838","7,640","6,232","3,448","2,004",901,293
未　　　　婚,男,"113,964","41,393","2,579","1,213","2,697","3,678","5,088","5,611","6,014","7,604","9,593","11,904","7,501","3,664","2,495","1,309",911,509,201
,女,"88,077","38,109","2,503",960,"1,338","1,462","2,091","2,716","3,116","3,762","4,933","8,321","7,337","3,976","3,737","2,139","1,093",392,92
,計,"1,280,613",39,287,754,"3,625","12,933","18,479","16,856","21,610","54,128","134,358","320,793","296,946","181,316","143,050","57,979","14,698","2,374",388
有　　　　偶,男,"568,444",6,106,204,"1,043","1,840","3,218","4,773","6,973","16,021","41,665","134,089","140,073","91,596","79,001","35,178","10,388","1,941",329
,女,"712,169",33,181,550,"2,582","11,093","15,261","12,083","14,637","38,107","92,693","186,704","156,873","89,720","64,049","22,801","4,310",433,59
,計,"1,280,488",38,282,748,"3,595","12,905","18,460","16,839","21,605","54,121","134,355","320,791","296,944","181,316","143,050","57,979","14,698","2,374",388
不同性別,男,"568,426",6,105,203,"1,041","1,838","3,217","4,768","6,972","16,016","41,665","134,089","140,073","91,596","79,001","35,178","10,388","1,941",329
,女,"712,062",32,177,545,"2,554","11,067","15,243","12,071","14,633","38,105","92,690","186,702","156,871","89,720","64,049","22,801","4,310",433,59
,計,125,1,5,6,30,28,19,17,5,7,3,2,2,—,—,—,—,—,—
相同性別,男,18,—,1,1,2,2,1,5,1,5,—,—,—,—,—,—,—,—,—
,女,107,1,4,5,28,26,18,12,4,2,3,2,2,—,—,—,—,—,—
,計,"209,030",9,107,283,"1,543","6,459","8,471","7,945","10,098","18,414","32,168","54,975","37,864","15,645","9,366","3,720","1,474",421,68
離婚/終止結婚,男,"80,651",1,25,121,484,"1,096","2,098","2,641","3,825","6,604","11,206","22,450","16,522","7,148","3,974","1,489",690,235,42
,女,"128,379",8,82,162,"1,059","5,363","6,373","5,304","6,273","11,810","20,962","32,525","21,342","8,497","5,392","2,231",784,186,26
,計,"209,005",9,105,280,"1,538","6,451","8,466","7,944","10,097","18,414","32,168","54,975","37,864","15,645","9,366","3,720","1,474",421,68
不同性別,男,"80,651",1,25,121,484,"1,096","2,098","2,641","3,825","6,604","11,206","22,450","16,522","7,148","3,974","1,489",690,235,42
,女,"128,354",8,80,159,"1,054","5,355","6,368","5,303","6,272","11,810","20,962","32,525","21,342","8,497","5,392","2,231",784,186,26
,計,25,—,2,3,5,8,5,1,1,—,—,—,—,—,—,—,—,—,—
相同性別,男,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
,女,25,—,2,3,5,8,5,1,1,—,—,—,—,—,—,—,—,—,—
,計,"823,701",—,4,10,72,945,"1,730","1,904","3,250","10,738","34,145","103,826","145,891","138,380","172,011","129,220","62,939","16,217","2,419"
喪　　　　偶,男,"119,338",—,1,—,—,9,25,64,208,700,"2,477","10,780","16,451","18,041","28,333","25,455","13,103","3,178",513
,女,"704,363",—,3,10,72,936,"1,705","1,840","3,042","10,038","31,668","93,046","129,440","120,339","143,678","103,765","49,836","13,039","1,906"
,計,"823,700",—,4,10,72,945,"1,730","1,904","3,249","10,738","34,145","103,826","145,891","138,380","172,011","129,220","62,939","16,217","2,419"
不同性別,男,"119,337",—,1,—,—,9,25,64,207,700,"2,477","10,780","16,451","18,041","28,333","25,455","13,103","3,178",513
,女,"704,363",—,3,10,72,936,"1,705","1,840","3,042","10,038","31,668","93,046","129,440","120,339","143,678","103,765","49,836","13,039","1,906"
,計,1,—,—,—,—,—,—,—,1,—,—,—,—,—,—,—,—,—,—
相同性別,男,1,—,—,—,—,—,—,—,1,—,—,—,—,—,—,—,—,—,—
,女,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
