　十五歲以上現住人口數按性別、年齡、婚姻狀況及教育程度分,,,,,,,,,,,,,,,,,,,,,　十五歲以上現住人口數按性別、年齡、婚姻狀況及教育程度分(續1),,,,,,,,,,,,,,,,,,,,,　十五歲以上現住人口數按性別、年齡、婚姻狀況及教育程度分(續2),,,,,,,,,,,,,,,,,,,,,　十五歲以上現住人口數按性別、年齡、婚姻狀況及教育程度分(續3),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,中華民國 108年底,,,,,,,,,,,,,,,,,,,單位：人,,中華民國 108年底,,,,,,,,,,,,,,,,,,,單位：人,,中華民國 108年底,,,,,,,,,,,,,,,,,,,單位：人,,中華民國 108年底,,,,,,,,,,,,,,,,,,,單位：人
"婚姻狀況及
婚姻類型",性別,總　　　　　　　　　　　　　　　　　　　　計,,,,,,,,,,,,,,,,,,,"婚姻狀況及
婚姻類型",性別,博　　　　　　士　　　　　　畢　　　　　　業,,,,,,,,,,,,,,,,,,,"婚姻狀況及
婚姻類型",性別,碩　　　　　　士　　　　　　畢　　　　　　業,,,,,,,,,,,,,,,,,,,"婚姻狀況及
婚姻類型",性別,大　　　　　　學　　　　　　畢　　　　　　業,,,,,,,,,,,,,,,,,,
,,總　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上",,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上",,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上",,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上"
,計,"20,592,770","1,254,141","1,514,105","1,609,454","1,594,132","1,964,945","1,974,288","1,775,328","1,814,146","1,827,585","1,657,519","1,379,517","800,166","609,634","426,615","250,664","111,099","25,626","3,806",,計,"97,683",—,—,442,"5,106","13,538","15,907","13,028","14,255","13,131","9,666","6,420","3,356","1,605",799,315,96,18,1,,計,"1,151,527",—,"10,835","141,308","189,075","208,600","183,741","145,042","112,972","70,490","41,597","26,244","12,549","5,445","2,250",996,319,55,9,,計,"4,693,585",—,"477,495","939,080","812,428","723,000","511,635","332,650","245,378","201,361","163,689","133,583","76,627","38,424","18,334","11,076","6,574","1,950",301
總　　　　計,男,"10,141,384","655,005","786,337","835,899","811,836","973,587","972,012","870,707","893,605","894,467","800,678","655,667","372,358","271,662","177,638","106,901","50,353","10,985","1,687",總　　　　計,男,"70,642",—,—,312,"3,662","9,574","10,831","8,457","9,633","9,691","7,696","5,325","2,850","1,471",733,300,89,17,1,總　　　　計,男,"694,651",—,"6,461","88,184","112,807","122,866","104,760","83,589","66,938","45,001","28,238","18,854","9,396","4,375","1,957",876,293,48,8,總　　　　計,男,"2,246,224",—,"219,894","434,347","372,102","328,109","236,915","155,465","116,066","103,454","91,197","79,365","49,764","28,244","14,398","9,375","5,715","1,577",237
,女,"10,451,386","599,136","727,768","773,555","782,296","991,358","1,002,276","904,621","920,541","933,118","856,841","723,850","427,808","337,972","248,977","143,763","60,746","14,641","2,119",,女,"27,041",—,—,130,"1,444","3,964","5,076","4,571","4,622","3,440","1,970","1,095",506,134,66,15,7,1,—,,女,"456,876",—,"4,374","53,124","76,268","85,734","78,981","61,453","46,034","25,489","13,359","7,390","3,153","1,070",293,120,26,7,1,,女,"2,447,361",—,"257,601","504,733","440,326","394,891","274,720","177,185","129,312","97,907","72,492","54,218","26,863","10,180","3,936","1,701",859,373,64
,計,"7,054,060","1,251,268","1,458,152","1,332,197","884,652","676,215","482,541","320,436","240,626","170,671","108,334","66,825","28,742","14,585","8,503","5,081","3,534","1,359",339,,計,"19,575",—,—,388,"3,039","4,550","3,683","2,411","1,979","1,396",811,550,411,216,104,26,10,1,—,,計,"420,125",—,"10,773","130,486","114,090","68,195","38,389","24,844","15,986","8,246","4,238","2,736","1,394",511,150,65,10,12,—,,計,"2,336,613",—,"470,889","817,648","475,136","264,826","137,049","72,361","42,107","25,429","14,913","9,643","4,233","1,431",489,232,152,66,9
未　　　　婚,男,"3,823,893","654,498","767,556","727,349","511,183","398,351","271,360","169,496","125,136","88,681","53,975","28,821","11,811","6,359","3,661","2,398","2,106",908,244,未　　　　婚,男,"10,747",—,—,272,"2,130","2,946","1,924","1,034",716,539,357,276,266,173,85,20,8,1,—,未　　　　婚,男,"238,869",—,"6,430","82,503","71,226","39,786","17,599","9,485","5,431","2,736","1,599","1,082",573,262,104,39,5,9,—,未　　　　婚,男,"1,110,111",—,"218,157","394,212","243,259","133,168","60,779","27,343","14,411","8,291","4,923","3,044","1,367",555,252,165,127,53,5
,女,"3,230,167","596,770","690,596","604,848","373,469","277,864","211,181","150,940","115,490","81,990","54,359","38,004","16,931","8,226","4,842","2,683","1,428",451,95,,女,"8,828",—,—,116,909,"1,604","1,759","1,377","1,263",857,454,274,145,43,19,6,2,—,—,,女,"181,256",—,"4,343","47,983","42,864","28,409","20,790","15,359","10,555","5,510","2,639","1,654",821,249,46,26,5,3,—,,女,"1,226,502",—,"252,732","423,436","231,877","131,658","76,270","45,018","27,696","17,138","9,990","6,599","2,866",876,237,67,25,13,4
,計,"10,356,627","2,535","46,754","244,289","636,641","1,120,333","1,240,774","1,161,186","1,232,697","1,287,997","1,187,248","969,528","530,998","361,643","204,408","91,602","31,945","5,346",703,,計,"72,429",—,—,53,"2,018","8,736","11,680","9,858","11,202","10,717","8,065","5,316","2,627","1,246",605,239,58,8,1,,計,"679,580",—,60,"10,650","73,328","135,240","137,067","110,273","87,222","55,326","32,986","20,723","9,791","4,199","1,739",714,230,26,6,,計,"2,120,199",—,"6,319","116,224","320,998","429,880","343,089","230,670","175,168","150,177","126,492","104,498","60,001","29,961","13,685","7,785","4,207",929,116
