"婚姻狀況及
婚姻類型",性別,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上"
,計,"6,265,384","327,800","807,393","368,920","354,401","446,658","632,308","621,548","703,843","685,709","563,112","391,145","194,640","82,573","46,104","20,908","13,721","4,062",539
總　　　　計,男,"3,236,039","173,172","444,838","224,930","205,994","241,855","326,834","298,174","330,489","313,864","270,699","197,625","104,592","48,783","28,999","13,273","9,086","2,541",291
,女,"3,029,345","154,628","362,555","143,990","148,407","204,803","305,474","323,374","373,354","371,845","292,413","193,520","90,048","33,790","17,105","7,635","4,635","1,521",248
,計,"2,266,407","327,316","781,992","276,826","193,703","165,419","171,130","114,335","92,437","67,133","40,746","22,119","8,960","2,364",940,410,369,183,25
未　　　　婚,男,"1,335,016","173,064","436,294","184,345","130,538","111,357","112,056","69,991","51,943","33,902","18,594","8,390","2,792",758,365,194,269,144,20
,女,"931,391","154,252","345,698","92,481","63,165","54,062","59,074","44,344","40,494","33,231","22,152","13,729","6,168","1,606",575,216,100,39,5
,計,"3,042,111",452,"21,555","75,253","132,102","227,113","355,887","378,568","460,130","470,773","399,300","280,452","136,971","55,988","28,909","10,985","6,145","1,386",142
有　　　　偶,男,"1,505,224",102,"7,344","33,680","62,655","106,997","168,044","171,615","212,186","219,542","204,427","156,102","84,488","39,475","22,298","9,203","5,639","1,299",128
,女,"1,536,887",350,"14,211","41,573","69,447","120,116","187,843","206,953","247,944","251,231","194,873","124,350","52,483","16,513","6,611","1,782",506,87,14
,計,"3,038,623",449,"21,252","74,578","131,273","226,453","355,354","378,325","459,988","470,702","399,280","280,445","136,970","55,988","28,908","10,985","6,145","1,386",142
不同性別,男,"1,504,373",101,"7,251","33,521","62,479","106,861","167,920","171,556","212,130","219,508","204,419","156,097","84,488","39,475","22,298","9,203","5,639","1,299",128
,女,"1,534,250",348,"14,001","41,057","68,794","119,592","187,434","206,769","247,858","251,194","194,861","124,348","52,482","16,513","6,610","1,782",506,87,14
,計,"3,488",3,303,675,829,660,533,243,142,71,20,7,1,—,1,—,—,—,—
相同性別,男,851,1,93,159,176,136,124,59,56,34,8,5,—,—,—,—,—,—,—
,女,"2,637",2,210,516,653,524,409,184,86,37,12,2,1,—,1,—,—,—,—
,計,"731,918",32,"3,817","16,675","28,126","52,163","99,612","117,396","130,709","117,085","85,838","51,231","20,028","5,639","2,126",752,501,170,18
離婚/終止結婚,男,"345,666",6,"1,196","6,880","12,724","23,240","45,965","55,122","63,385","55,543","40,458","25,009","10,555","3,316","1,298",448,376,130,15
,女,"386,252",26,"2,621","9,795","15,402","28,923","53,647","62,274","67,324","61,542","45,380","26,222","9,473","2,323",828,304,125,40,3
,計,"731,202",29,"3,668","16,414","27,977","52,083","99,564","117,378","130,703","117,083","85,838","51,231","20,028","5,639","2,126",752,501,170,18
不同性別,男,"345,447",5,"1,145","6,794","12,685","23,217","45,954","55,117","63,382","55,543","40,458","25,009","10,555","3,316","1,298",448,376,130,15
,女,"385,755",24,"2,523","9,620","15,292","28,866","53,610","62,261","67,321","61,540","45,380","26,222","9,473","2,323",828,304,125,40,3
,計,716,3,149,261,149,80,48,18,6,2,—,—,—,—,—,—,—,—,—
相同性別,男,219,1,51,86,39,23,11,5,3,—,—,—,—,—,—,—,—,—,—
,女,497,2,98,175,110,57,37,13,3,2,—,—,—,—,—,—,—,—,—
,計,"224,948",—,29,166,470,"1,963","5,679","11,249","20,567","30,718","37,228","37,343","28,681","18,582","14,129","8,761","6,706","2,323",354
喪　　　　偶,男,"50,133",—,4,25,77,261,769,"1,446","2,975","4,877","7,220","8,124","6,757","5,234","5,038","3,428","2,802",968,128
,女,"174,815",—,25,141,393,"1,702","4,910","9,803","17,592","25,841","30,008","29,219","21,924","13,348","9,091","5,333","3,904","1,355",226
,計,"224,936",—,28,164,467,"1,963","5,679","11,247","20,564","30,717","37,228","37,343","28,681","18,582","14,129","8,761","6,706","2,323",354
不同性別,男,"50,127",—,4,24,76,261,769,"1,445","2,973","4,876","7,220","8,124","6,757","5,234","5,038","3,428","2,802",968,128
,女,"174,809",—,24,140,391,"1,702","4,910","9,802","17,591","25,841","30,008","29,219","21,924","13,348","9,091","5,333","3,904","1,355",226
,計,12,—,1,2,3,—,—,2,3,1,—,—,—,—,—,—,—,—,—
相同性別,男,6,—,—,1,1,—,—,1,2,1,—,—,—,—,—,—,—,—,—
,女,6,—,1,1,2,—,—,1,1,—,—,—,—,—,—,—,—,—,—
